address,amphoe,cemail1,cfax,cname,cphone,cradio,dataid,entrydate,helipad,hosp_agency,hosp_ambulance,hosp_bed,hosp_bed_expand,hosp_bed_used,hosp_burn,hosp_code_new,hosp_code_old,hosp_morgue,hosp_morgue_used,hosp_oper_room,hosp_oper_room_used,hosp_stroke,hosp_surgery_capa,hosp_trauma,hosp_type,image_attachment_1,image_attachment_2,image_attachment_3,incidentid,label,latitude,longitude,map_label,originator_incident_name,originator_position,postcode,province,report_dt,subscribername,tambol,to_ecg
80 ซอยแสงจันทร์ - รูเบีย,เขตคลองเตย,,0-2381-2769,,0-2769 2000 ต่อ 1037,,11324,6/18/2019 12:47:22 AM,,เอกชน,0.0,160,,0,,,11583,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลกล้วยน้ำไท,13.7139632,100.58760210000003,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10110,กรุงเทพมหานคร,6/18/2019 12:46:49 AM,,พระโขนง,ส่วนควบคุมการฝึก (ECG)
27 ถ.สุขุมวิท 68,เขตบางนา,,0-2399-4260,,0-2399-4259-63,,11325,6/18/2019 9:34:01 AM,,เอกชน,0.0,90,,0,,,11581,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลกล้วยน้ำไท 2,13.6772089,100.60699399999999,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10260,กรุงเทพมหานคร,6/18/2019 9:33:26 AM,,บางนา,ส่วนควบคุมการฝึก (ECG)
46/7-9 ถ.มเหสักข์,เขตบางรัก,,0-2233-7433,,0-2635-7123,,11326,6/18/2019 9:05:41 AM,,เอกชน,0.0,132,,0,,,11552,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลมเหสักข์,13.7252881,100.51941090000003,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10500,กรุงเทพมหานคร,6/18/2019 9:05:10 AM,,สุริยวงศ์,ส่วนควบคุมการฝึก (ECG)
2469/13 ถ.เพชรบุรีตัดใหม่,เขตห้วยขวาง,,0-2318-1987,,0-2318-0080,,11327,6/18/2019 9:01:28 AM,,เอกชน,0.0,148,,0,,,11629,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลเพชรเวช,13.7429343,100.59478999999999,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10310,กรุงเทพมหานคร,6/18/2019 9:00:55 AM,,บางกะปิ,ส่วนควบคุมการฝึก (ECG)
953,เขตบางซื่อ,,0-2910-1649,,0-2910-1600,,11328,6/18/2019 12:23:54 AM,,เอกชน,0.0,371,,0,,,11687,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลเกษมราษฎร์ประชาชื่น,13.8318725,100.53871559999993,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10800,กรุงเทพมหานคร,6/18/2019 12:23:23 AM,,วงศ์สว่าง,ส่วนควบคุมการฝึก (ECG)
2012 / 5-7 ถ.พหลโยธิน,เขตจตุจักร,,0-2579-9676-7,,0-2579-1770-4,,11329,6/18/2019 12:45:51 AM,,เอกชน,0.0,162,,0,,,11560,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลเปาโล เกษตร,13.835360969398504,100.57421207427979,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10900,กรุงเทพมหานคร,6/18/2019 12:45:15 AM,,เสนานิคม,ส่วนควบคุมการฝึก (ECG)
51/3 ถนนงามวงศ์วาน,เขตจตุจักร,,0-2561-1466,,"0-2941-2800,0-2941-2900",,11330,6/18/2019 12:30:03 AM,,เอกชน,0.0,250,,0,,,11691,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลวิภาวดี,13.8462543,100.56212389999996,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10900,กรุงเทพมหานคร,6/18/2019 12:29:32 AM,,ลาดยาว,ส่วนควบคุมการฝึก (ECG)
55/3 ถ.สุทธิสาร,เขตห้วยขวาง,,0-2275-5295,,0-2693-0733-40,,11331,6/18/2019 12:37:28 PM,,เอกชน,0.0,0,,0,,,11627,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,โรงพยาบาลโกลเด้นเยียส์,13.789723,100.57742299999995,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10310,กรุงเทพมหานคร,6/18/2019 12:36:14 PM,,สามเสนนอก,ส่วนควบคุมการฝึก (ECG)
83/ 125-6 ซ.ชินเขต 2 ถ.งามวงศ์วาน,เขตหลักสี่,,0-2580-7429,,0-2580-7426-8,,11332,6/18/2019 12:14:07 PM,,เอกชน,0.0,30,,0,,,11559,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,สถานพยาบาลชินเขตงามวงศ์วาน,13.8556648,100.55116309999994,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10210,กรุงเทพมหานคร,6/18/2019 12:13:27 PM,,ทุ่งสองห้อง,ส่วนควบคุมการฝึก (ECG)
10/9 ซอยอินทามระ 33,เขตดินแดง,,0-2275-6881,,0-2275-6351-6,,11333,6/18/2019 12:36:08 PM,,เอกชน,0.0,0,,0,,,11681,0.0,0.0,0.0,0.0,,,,โรงพยาบาลเอกชน,,,,0,สถานพยาบาลสุทธิสาร,13.7902485,100.5623402,,*เหตุการณ์สาธารณภัยประจำวัน,ศบก.กรุงเทพมหานคร,10400,กรุงเทพมหานคร,6/18/2019 12:35:37 PM,,ดินแดง,ส่วนควบคุมการฝึก (ECG)
