stationid,location,provincE_ID,provincE_NAME,amphuR_ID,amphuR_NAME,tumboL_ID,tumboL_NAME,latitude,longitude,awsserialname,awsrecordtime,awsptemperature,awspressure,awsrainfall,awstemperature,awsrelatviehumidity,awswindspeed,awswinddirection,awsactivestatus,awslastupdate,aqserialname,aqtemperature,aqdewpoint,aqnO2,aqO3,aqox,aqrelativehumidity,aqpM1,aqpM25,aqpM10,aqtsp,aqactivestatus,aqlastupdate,accumulaterainfalL3HOURS,accumulaterainfalL24HOURS,accumulaterainfalllastupdate,accumulaterainfallrecordtime,region,id,aqrecordtime,statioN_CODE,awsbatteryvolt,accumulaterainfalL24HOURS_DESC,aqpM25_DESC
543,WB26 - บ้านบ่อม่วง ต.ทรายขาว อ.คลองท่อม จ.กระบี่,81,กระบี่,8104,คลองท่อม,810404,ทรายขาว,7.67705,99.19907,AWS3565-197,2023-05-25 10:50:00.0,31.44,1011,1011,1011,83.9,.147,336.8,1,2023-05-25 11:00:00.0,R-AQ-AT197,29.7,28.81,19,14,,95.55,,23.85,55.75,,1,2023-05-25 11:00:00.0,0,.7,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,S,543,2023-05-25 10:50:00.0,WB26,13.06,ฝนตกเล็กน้อย,คุณภาพอากาศดีมาก
530,WB13 - บ้านแหลมสัก ต.แหลมสัก อ.อ่าวลึก จ.กระบี่,81,กระบี่,8105,อ่าวลึก,810502,แหลมสัก,8.02893,98.92782,AWS3565-191,2023-05-25 10:50:00.0,34.01,1009,1009,1009,74.83,.522,213.5,1,2023-05-25 11:00:00.0,R-AQ-AT191,33.6,26.96,10,20,,66.8,,15.3,40.3,,1,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,S,530,2023-05-25 10:50:00.0,WB13,13.07,ไม่มีฝน,คุณภาพอากาศดีมาก
145,TG74 - มัสยิดบ้านโล๊ะบาหรา ต.ศาลาด่าน อ.เกาะลันตา จ.กระบี่,81,กระบี่,8103,เกาะลันตา,810305,ศาลาด่าน,7.63494,99.03396,AWS2963-079,2023-05-25 10:50:00.0,32.54,1012,1012,1012,89.6,1.227,244.7,1,2023-05-25 11:00:00.0,AQY BE-1294A,31.63,30.6,15,10.34,,94.3,,8.3,20.9,,1,2023-05-25 11:00:00.0,.9,.9,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,S,143,2023-05-25 10:50:00.0,TG74,12.49,ฝนตกเล็กน้อย,คุณภาพอากาศดีมาก
557,WB09 - บ้านศาลาด่าน ต.ศาลาด่าน อ.เกาะลันตา จ.กระบี่,81,กระบี่,8103,เกาะลันตา,810305,ศาลาด่าน,7.64735,99.03523,AWS3565-201,2023-05-25 10:50:00.0,31.83,1010,1010,1010,81.9,3.122,280.3,1,2023-05-25 11:00:00.0,R-AQ-AT201,32.65,27.21,12,5.5,,72.8,,20.45,51.4,,1,2023-05-25 11:00:00.0,3.3,3.3,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,S,557,2023-05-25 10:50:00.0,WB09,13.02,ฝนตกเล็กน้อย,คุณภาพอากาศดีมาก
559,WB28 - บ้านลันตาน้อย ต.เกาะลันตาน้อย อ.เกาะลันตา จ.กระบี่,81,กระบี่,8103,เกาะลันตา,810302,เกาะลันตาน้อย,7.6715,99.04283,AWS3565-199,2023-05-25 10:50:00.0,32.39,1010,1010,1010,75.79,1.252,326.8,1,2023-05-25 11:00:00.0,R-AQ-AT199,31.5,27.73,17,16.5,,81.15,,20.9,51.9,,1,2023-05-25 11:00:00.0,0,6.5,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,S,559,2023-05-25 10:50:00.0,WB28,13.07,ฝนตกเล็กน้อย,คุณภาพอากาศดีมาก
558,WB31 - เทศบาลตำบลเกาะลันตาใหญ่ ต.เกาะลันตาใหญ่ อ.เกาะลันตา จ.กระบี่,81,กระบี่,8103,เกาะลันตา,810301,เกาะลันตาใหญ่,7.53044,99.09495,AWS3565-200,2023-05-25 10:50:00.0,32.58,1010,1010,1010,75.69,1.813,280.8,1,2023-05-25 11:00:00.0,R-AQ-AT200,31,28.06,20,2.5,,85.3,,19.35,50,,1,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,S,558,2023-05-25 10:50:00.0,WB31,13.06,ไม่มีฝน,คุณภาพอากาศดีมาก
527,WB16 - บ้านคลองประสงค์ หมู่2 ต.คลองประสงค์ อ.เมืองกระบี่ จ.กระบี่,81,กระบี่,8101,เมืองกระบี่,810118,คลองประสงค์,8.029225,98.92804,AWS3565-194,2023-05-25 10:50:00.0,33.29,1011,1011,1011,77.17,4.59,224.3,1,2023-05-25 11:00:00.0,R-AQ-AT194,32.1,28.46,17,.5,,81.8,,18.8,49.35,,1,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,S,527,2023-05-25 10:50:00.0,WB16,13.06,ไม่มีฝน,คุณภาพอากาศดีมาก
147,TG78 - มัสยิดบ้านคลองแห้ง หมู่ 5 ต.อ่าวนาง อ.เมืองกระบี่ จ.กระบี่,81,กระบี่,8103,เมืองกระบี่,810306,อ่าวนาง,8.0496,98.8536,AWS2963-077,2023-05-25 10:50:00.0,34.61,1011,1011,1011,77.07,1.518,251.5,1,2023-05-25 11:00:00.0,AQY BE-1292,33.67,32.1,15,10.14,,91.7,,8.1,16.4,,1,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,S,145,2023-05-25 10:50:00.0,TG78,12.72,ไม่มีฝน,คุณภาพอากาศดีมาก
533,WB01 - เกาะ พีพี 1 ( อ่าวต้นไทร ) ต.อ่าวนาง อ.เมืองกระบี่ จ.กระบี่,81,กระบี่,8101,เมืองกระบี่,810116,อ่าวนาง,7.73993,98.77328,AWS3565-195,2023-05-25 10:50:00.0,33.3,1011,1011,1011,72.61,1.702,346.9,1,2023-05-25 11:00:00.0,R-AQ-AT195,30.4,25.2,12,0,,74,,20.8,52.7,,1,2023-05-25 11:00:00.0,0,3.3,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,S,533,2023-05-25 10:50:00.0,WB01,13.06,ฝนตกเล็กน้อย,คุณภาพอากาศดีมาก
529,WB03 - หาดอ่าวนาง ต.อ่าวนาง อ.เมืองกระบี่ จ.กระบี่,81,กระบี่,8101,เมืองกระบี่,810116,อ่าวนาง,8.03245,98.82048,AWS3565-192,2023-05-25 10:50:00.0,33.26,1011,1011,1011,74.49,4.301,307.9,1,2023-05-25 11:00:00.0,R-AQ-AT192,29.6,25.35,25,0,,78.75,,21.2,52.35,,1,2023-05-25 11:00:00.0,0,0,2023-05-25 11:00:00.0,2023-05-25 10:50:00.0,S,529,2023-05-25 10:50:00.0,WB03,12.9,ไม่มีฝน,คุณภาพอากาศดีมาก
